year,candidate,state,fips,battle,number_fo,dummy_fo,population,totalvote,demvote,dempct,turnout,turnout_lag,turnout_change,dummy_fo_lag,dummy_fo_change,dempct_lag,dempct_change
2008,Obama,Alabama,1009,FALSE,0,0,57794,24267,3522,0.14513540267944336,0.41988787763435653,0.3914887367126255,0.028399140921731014,0,0,0.18469999730587006,-0.0395645946264267
2004,Kerry,Alabama,1009,FALSE,0,0,54469,21324,3938,0.18469999730587006,0.3914887367126255,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1011,FALSE,0,0,10921,5322,4061,0.7630590200424194,0.48731801117113815,0.4958337148612764,-0.008515703690138265,0,0,0.7407202124595642,0.022338807582855225
2008,Obama,Alabama,1011,FALSE,0,0,10921,5415,4011,0.7407202124595642,0.4958337148612764,0.42616416017394454,0.06966955468733188,0,0,0.6823999881744385,0.05832022428512573
2004,Kerry,Alabama,1011,FALSE,0,0,11038,4704,3210,0.6823999881744385,0.42616416017394454,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1013,FALSE,0,0,20171,9502,4374,0.46032413840293884,0.47107233156511824,0.4813345892618115,-0.010262257696693255,0,0,0.43135228753089905,0.028971850872039795
2008,Obama,Alabama,1013,FALSE,0,0,20171,9709,4188,0.43135228753089905,0.4813345892618115,0.4098456729830045,0.07148891627880699,0,0,0.4066999852657318,0.024652302265167236
2004,Kerry,Alabama,1013,FALSE,0,0,20476,8392,3413,0.4066999852657318,0.4098456729830045,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1015,FALSE,0,0,113422,46364,15511,0.33454835414886475,0.4087743118618963,0.43414857787730776,-0.025374266015411484,0,0,0.331708699464798,0.0028396546840667725
2008,Obama,Alabama,1015,FALSE,0,0,113422,49242,16334,0.331708699464798,0.43414857787730776,0.40224880168436145,0.031899776192946316,0,0,0.3359000086784363,-0.004191309213638306
2004,Kerry,Alabama,1015,FALSE,0,0,111615,44897,15083,0.3359000086784363,0.40224880168436145,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1017,FALSE,0,0,34473,14629,6871,0.4696834981441498,0.4243610941896557,0.43384677863835464,-0.009485684448698961,0,0,0.45460018515586853,0.01508331298828125
2008,Obama,Alabama,1017,FALSE,0,0,34473,14956,6799,0.45460018515586853,0.43384677863835464,0.36649051911718994,0.0673562595211647,0,0,0.4122999906539917,0.04230019450187683
2004,Kerry,Alabama,1017,FALSE,0,0,35387,12969,5347,0.4122999906539917,0.36649051911718994,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1019,FALSE,0,0,24413,9792,2132,0.21772876381874084,0.4010977757752017,0.399172571990333,0.001925203784868712,0,0,0.23663419485092163,-0.018905431032180786
2008,Obama,Alabama,1019,FALSE,0,0,24413,9745,2306,0.23663419485092163,0.399172571990333,0.3689843975134824,0.030188174476850627,0,0,0.3391999900341034,-0.10256579518318176
2004,Kerry,Alabama,1019,FALSE,0,0,24291,8963,3040,0.3391999900341034,0.3689843975134824,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1021,FALSE,0,0,42696,17485,3397,0.19428081810474396,0.40952314034101556,0.41654955967772156,-0.007026419336706002,0,0,0.2065785974264145,-0.012297779321670532
2008,Obama,Alabama,1021,FALSE,0,0,42696,17785,3674,0.2065785974264145,0.41654955967772156,0.4033762448384746,0.013173314839246941,0,0,0.22750000655651093,-0.020921409130096436
2004,Kerry,Alabama,1021,FALSE,0,0,41170,16607,3778,0.22750000655651093,0.4033762448384746,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1023,FALSE,0,0,14083,7976,3786,0.4746740162372589,0.5663566001562167,0.5605339771355535,0.005822623020663165,0,0,0.4606029987335205,0.014071017503738403
2008,Obama,Alabama,1023,FALSE,0,0,14083,7894,3636,0.4606029987335205,0.5605339771355535,0.48341614072780986,0.07711783640774367,0,0,0.45879998803138733,0.0018030107021331787
2004,Kerry,Alabama,1023,FALSE,0,0,14894,7200,3303,0.45879998803138733,0.48341614072780986,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1025,FALSE,0,0,26264,13860,6334,0.4569985568523407,0.5277185501066098,0.5115367042339324,0.01618184587267746,0,0,0.4401935040950775,0.016805052757263184
2008,Obama,Alabama,1025,FALSE,0,0,26264,13435,5914,0.4401935040950775,0.5115367042339324,0.4215038598574822,0.0900328443764502,0,0,0.4074000120162964,0.03279349207878113
2004,Kerry,Alabama,1025,FALSE,0,0,26944,11357,4627,0.4074000120162964,0.4215038598574822,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1027,FALSE,0,0,13807,6679,1777,0.2660577893257141,0.48374013181719416,0.4938799159846455,-0.010139784167451316,0,0,0.2581023871898651,0.007955402135848999
2008,Obama,Alabama,1027,FALSE,0,0,13807,6819,1760,0.2581023871898651,0.4938799159846455,0.46753712604921444,0.026342789935431044,0,0,0.2904999852180481,-0.03239759802818298
2004,Kerry,Alabama,1027,FALSE,0,0,13939,6517,1893,0.2904999852180481,0.46753712604921444,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1029,FALSE,0,0,14736,6319,971,0.15366356074810028,0.42881378935939196,0.44055374592833874,-0.011739956568946774,0,0,0.1799136996269226,-0.026250138878822327
2008,Obama,Alabama,1029,FALSE,0,0,14736,6492,1168,0.1799136996269226,0.44055374592833874,0.4038839035333707,0.03666984239496801,0,0,0.24150000512599945,-0.06158630549907684
2004,Kerry,Alabama,1029,FALSE,0,0,14264,5761,1391,0.24150000512599945,0.4038839035333707,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1031,FALSE,0,0,47773,19821,4925,0.24847383797168732,0.4148996294978335,0.4213258535155841,-0.006426224017750615,0,0,0.25233501195907593,-0.003861173987388611
2008,Obama,Alabama,1031,FALSE,0,0,47773,20128,5079,0.25233501195907593,0.4213258535155841,0.3913714439076758,0.029954409607908294,0,0,0.25600001215934753,-0.0036650002002716064
2004,Kerry,Alabama,1031,FALSE,0,0,44712,17499,4480,0.25600001215934753,0.3913714439076758,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1033,FALSE,0,0,54626,23444,9166,0.390974223613739,0.4291729213195182,0.4547834364588291,-0.025610515139310952,0,0,0.39057278633117676,4.0143728256225586e-4
2008,Obama,Alabama,1033,FALSE,0,0,54626,24843,9703,0.39057278633117676,0.4547834364588291,0.43702574090065593,0.017757695558173192,0,0,0.4456000030040741,-0.05502721667289734
2004,Kerry,Alabama,1033,FALSE,0,0,54427,23786,10598,0.4456000030040741,0.43702574090065593,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1035,FALSE,0,0,13038,7025,3555,0.5060498118400574,0.5388096333793526,0.532520325203252,0.0062893081761006275,0,0,0.49387869238853455,0.012171119451522827
2008,Obama,Alabama,1035,FALSE,0,0,13038,6943,3429,0.49387869238853455,0.532520325203252,0.45248526967819913,0.08003505552505286,0,0,0.453900009393692,0.03997868299484253
2004,Kerry,Alabama,1035,FALSE,0,0,13238,5990,2719,0.453900009393692,0.45248526967819913,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1037,FALSE,0,0,10724,5282,2191,0.41480499505996704,0.4925400969787393,0.5187430063409175,-0.02620290936217823,0,0,0.40859249234199524,0.006212502717971802
2008,Obama,Alabama,1037,FALSE,0,0,10724,5563,2273,0.40859249234199524,0.5187430063409175,0.4446038006453926,0.0741392056955249,0,0,0.41429999470710754,-0.005707502365112305
2004,Kerry,Alabama,1037,FALSE,0,0,11156,4960,2055,0.41429999470710754,0.4446038006453926,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1039,FALSE,0,0,36646,15439,3158,0.20454692840576172,0.4213010969819353,0.43079735851116085,-0.009496261529225558,0,0,0.20523220300674438,-6.85274600982666e-4
2008,Obama,Alabama,1039,FALSE,0,0,36646,15787,3240,0.20523220300674438,0.43079735851116085,0.4003634161114476,0.030433942399713254,0,0,0.2354000061750412,-0.030167803168296814
2004,Kerry,Alabama,1039,FALSE,0,0,36322,14542,3423,0.2354000061750412,0.4003634161114476,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1041,FALSE,0,0,13686,6424,2050,0.3191158175468445,0.4693847727604852,0.45966681280140287,0.009717959959082312,0,0,0.30805909633636475,0.011056721210479736
2008,Obama,Alabama,1041,FALSE,0,0,13686,6291,1938,0.30805909633636475,0.45966681280140287,0.40251433612704013,0.05715247667436274,0,0,0.3100999891757965,-0.0020408928394317627
2004,Kerry,Alabama,1041,FALSE,0,0,13602,5475,1698,0.3100999891757965,0.40251433612704013,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1043,FALSE,0,0,81518,34555,5052,0.1462016999721527,0.4238941092764788,0.4330945312691675,-0.009200421992688723,0,0,0.16609549522399902,-0.019893795251846313
2008,Obama,Alabama,1043,FALSE,0,0,81518,35305,5864,0.16609549522399902,0.4330945312691675,0.44292411479971033,-0.009829583530542807,0,0,0.23080000281333923,-0.06470450758934021
2004,Kerry,Alabama,1043,FALSE,0,0,78711,34863,8045,0.23080000281333923,0.44292411479971033,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1045,FALSE,0,0,48400,18601,5286,0.2841782569885254,0.38431818181818184,0.39917355371900826,-0.01485537190082642,0,0,0.2727743089199066,0.011403948068618774
2008,Obama,Alabama,1045,FALSE,0,0,48400,19320,5270,0.2727743089199066,0.39917355371900826,0.37183463062989053,0.027338923089117728,0,0,0.24770000576972961,0.025074303150177002
2004,Kerry,Alabama,1045,FALSE,0,0,48691,18105,4484,0.24770000576972961,0.37183463062989053,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1047,FALSE,0,0,42627,20964,14612,0.6970043778419495,0.4918009712154268,0.48917352851479107,0.0026274427006357515,0,0,0.670727014541626,0.026277363300323486
2008,Obama,Alabama,1047,FALSE,0,0,42627,20852,13986,0.670727014541626,0.48917352851479107,0.42138092744781114,0.06779260106697993,0,0,0.6036999821662903,0.0670270323753357
2004,Kerry,Alabama,1047,FALSE,0,0,43927,18510,11175,0.6036999821662903,0.42138092744781114,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1049,FALSE,0,0,68894,23950,5239,0.21874739229679108,0.34763549801143784,0.34857897639852525,-9.434783870874153e-4,0,0,0.23560279607772827,-0.016855403780937195
2008,Obama,Alabama,1049,FALSE,0,0,68894,24015,5658,0.23560279607772827,0.34857897639852525,0.36044101300808123,-0.011862036609555981,0,0,0.2955000102519989,-0.05989721417427063
2004,Kerry,Alabama,1049,FALSE,0,0,66574,23996,7092,0.2955000102519989,0.36044101300808123,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1051,FALSE,0,0,78125,35546,8954,0.25189894437789917,0.4549888,0.439232,0.015756800000000015,0,0,0.24190589785575867,0.009993046522140503
2008,Obama,Alabama,1051,FALSE,0,0,78125,34315,8301,0.24190589785575867,0.439232,0.40023289746899376,0.03899910253100625,0,0,0.22679999470710754,0.015105903148651123
2004,Kerry,Alabama,1051,FALSE,0,0,71276,28527,6471,0.22679999470710754,0.40023289746899376,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1053,FALSE,0,0,37532,14894,5489,0.36853766441345215,0.39683470105509966,0.3909730363423212,0.005861664712778436,0,0,0.3535504937171936,0.014987170696258545
2008,Obama,Alabama,1053,FALSE,0,0,37532,14674,5188,0.3535504937171936,0.3909730363423212,0.3253536739864865,0.06561936235583471,0,0,0.3093999922275543,0.04415050148963928
2004,Kerry,Alabama,1053,FALSE,0,0,37888,12327,3814,0.3093999922275543,0.3253536739864865,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1055,FALSE,0,0,103435,42624,12803,0.3003706932067871,0.4120848842268091,0.4325131725238072,-0.02042828829699811,0,0,0.3016965985298157,-0.0013259053230285645
2008,Obama,Alabama,1055,FALSE,0,0,103435,44737,13497,0.3016965985298157,0.4325131725238072,0.41231479587363745,0.02019837665016977,0,0,0.3621000051498413,-0.060403406620025635
2004,Kerry,Alabama,1055,FALSE,0,0,102657,42327,15328,0.3621000051498413,0.41231479587363745,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1057,FALSE,0,0,17577,7958,1817,0.22832369804382324,0.45275075382602264,0.45269386129601186,5.689253001078809e-5,0,0,0.2505970001220703,-0.02227330207824707
2008,Obama,Alabama,1057,FALSE,0,0,17577,7957,1994,0.2505970001220703,0.45269386129601186,0.4412712523613735,0.011422608934638367,0,0,0.30320000648498535,-0.05260300636291504
2004,Kerry,Alabama,1057,FALSE,0,0,17998,7942,2408,0.30320000648498535,0.4412712523613735,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1059,FALSE,0,0,31051,10881,3171,0.2914254069328308,0.35042349682779944,0.3765740233808895,-0.02615052655309008,0,0,0.2966732084751129,-0.0052478015422821045
2008,Obama,Alabama,1059,FALSE,0,0,31051,11693,3469,0.2966732084751129,0.3765740233808895,0.399698686666885,-0.023124663285995495,0,0,0.3698999881744385,-0.07322677969932556
2004,Kerry,Alabama,1059,FALSE,0,0,30533,12204,4514,0.3698999881744385,0.399698686666885,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1061,FALSE,0,0,25971,11331,2039,0.1799488067626953,0.4362943282892457,0.4488467906511108,-0.012552462361865135,0,0,0.1830659955739975,-0.003117188811302185
2008,Obama,Alabama,1061,FALSE,0,0,25971,11657,2134,0.1830659955739975,0.4488467906511108,0.41067640820174406,0.03817038244936677,0,0,0.2020999938249588,-0.019033998250961304
2004,Kerry,Alabama,1061,FALSE,0,0,25458,10455,2113,0.2020999938249588,0.41067640820174406,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1063,FALSE,0,0,9039,5343,4521,0.8461538553237915,0.5911052107534019,0.5869012058856068,0.0042040048677951525,0,0,0.830914318561554,0.015239536762237549
2008,Obama,Alabama,1063,FALSE,0,0,9039,5305,4408,0.830914318561554,0.5869012058856068,0.49528005034612965,0.09162115553947714,0,0,0.7971000075340271,0.033814311027526855
2004,Kerry,Alabama,1063,FALSE,0,0,9534,4722,3764,0.7971000075340271,0.49528005034612965,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1065,FALSE,0,0,18083,8647,5411,0.6257661581039429,0.4781839296576895,0.4542387878117569,0.023945141845932605,0,0,0.6065254211425781,0.019240736961364746
2008,Obama,Alabama,1065,FALSE,0,0,18083,8214,4982,0.6065254211425781,0.4542387878117569,0.4426046095323339,0.011634178279423035,0,0,0.5853000283241272,0.021225392818450928
2004,Kerry,Alabama,1065,FALSE,0,0,17876,7912,4631,0.5853000283241272,0.4426046095323339,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1067,FALSE,0,0,16623,8766,3083,0.35169973969459534,0.5273416350839198,0.5202430367563015,0.007098598327618388,0,0,0.34898239374160767,0.002717345952987671
2008,Obama,Alabama,1067,FALSE,0,0,16623,8648,3018,0.34898239374160767,0.5202430367563015,0.44626338851022396,0.0739796482460775,0,0,0.3343999981880188,0.014582395553588867
2004,Kerry,Alabama,1067,FALSE,0,0,16432,7333,2452,0.3343999981880188,0.44626338851022396,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1069,FALSE,0,0,98852,41984,12367,0.2945646047592163,0.4247157366568203,0.42219681948771903,0.0025189171691012424,0,0,0.2929196059703827,0.0016449987888336182
2008,Obama,Alabama,1069,FALSE,0,0,98852,41735,12225,0.2929196059703827,0.42219681948771903,0.38991491112217724,0.03228190836554179,0,0,0.2538999915122986,0.039019614458084106
2004,Kerry,Alabama,1069,FALSE,0,0,92374,36018,9144,0.2538999915122986,0.38991491112217724,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1071,FALSE,0,0,52934,20632,5822,0.2821830213069916,0.38976839082631204,0.39434012166093624,-0.004571730834624199,0,0,0.30535590648651123,-0.023172885179519653
2008,Obama,Alabama,1071,FALSE,0,0,52934,20874,6374,0.30535590648651123,0.39434012166093624,0.3789954337899543,0.015344687870981921,0,0,0.42809998989105225,-0.12274408340454102
2004,Kerry,Alabama,1071,FALSE,0,0,53217,20169,8635,0.42809998989105225,0.3789954337899543,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1073,FALSE,1,1,663394,304523,159876,0.5250046849250793,0.4590379171352168,0.48014302209546667,-0.021105104960249865,1,0,0.521533727645874,0.0034709572792053223
2008,Obama,Alabama,1073,FALSE,1,1,663394,318524,166121,0.521533727645874,0.48014302209546667,0.4408468885602773,0.03929613353518935,1,0,0.4546000063419342,0.06693372130393982
2004,Kerry,Alabama,1073,FALSE,1,1,660016,290966,132286,0.4546000063419342,0.4408468885602773,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1075,FALSE,0,0,14341,7176,1646,0.2293756902217865,0.5003835157938777,0.49334077121539643,0.007042744578481308,0,0,0.22812719643115997,0.0012484937906265259
2008,Obama,Alabama,1075,FALSE,0,0,14341,7075,1614,0.22812719643115997,0.49334077121539643,0.4619638521715673,0.03137691904382911,0,0,0.2854999899864197,-0.057372793555259705
2004,Kerry,Alabama,1075,FALSE,0,0,14828,6850,1956,0.2854999899864197,0.4619638521715673,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1077,FALSE,0,0,89200,37032,12511,0.3378429412841797,0.41515695067264574,0.4271748878923767,-0.012017937219730934,0,0,0.3498058021068573,-0.011962860822677612
2008,Obama,Alabama,1077,FALSE,0,0,89200,38104,13329,0.3498058021068573,0.4271748878923767,0.42187768769423073,0.005297200198145946,0,0,0.397599995136261,-0.047794193029403687
2004,Kerry,Alabama,1077,FALSE,0,0,87203,36789,14628,0.397599995136261,0.42187768769423073,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1079,FALSE,0,0,34047,14148,5069,0.3582838475704193,0.41554321966693103,0.431168678591359,-0.01562545892442796,0,0,0.3517710864543915,0.006512761116027832
2008,Obama,Alabama,1079,FALSE,0,0,34047,14680,5164,0.3517710864543915,0.431168678591359,0.40594667290375397,0.02522200568760502,0,0,0.4433000087738037,-0.09152892231941223
2004,Kerry,Alabama,1079,FALSE,0,0,34204,13885,6155,0.4433000087738037,0.40594667290375397,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1081,FALSE,0,0,133105,54496,21381,0.3923407196998596,0.4094211336914466,0.408136433642613,0.0012847000488336313,0,0,0.3957293927669525,-0.0033886730670928955
2008,Obama,Alabama,1081,FALSE,0,0,133105,54325,21498,0.3957293927669525,0.408136433642613,0.3631859192427156,0.04495051439989739,0,0,0.3671000003814697,0.028629392385482788
2004,Kerry,Alabama,1081,FALSE,0,0,121698,44199,16227,0.3671000003814697,0.3631859192427156,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1083,FALSE,0,0,76314,35540,9829,0.2765616178512573,0.4657074717614068,0.4396441019996331,0.026063369761773703,0,0,0.2842240035533905,-0.007662385702133179
2008,Obama,Alabama,1083,FALSE,0,0,76314,33551,9536,0.2842240035533905,0.4396441019996331,0.42141886064291667,0.018225241356716437,0,0,0.3165999948978424,-0.032375991344451904
2004,Kerry,Alabama,1083,FALSE,0,0,68407,28828,9126,0.3165999948978424,0.42141886064291667,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1085,FALSE,0,0,12592,7523,5747,0.7639239430427551,0.5974428208386277,0.5779860228716646,0.01945679796696309,0,0,0.7486947178840637,0.015229225158691406
2008,Obama,Alabama,1085,FALSE,0,0,12592,7278,5449,0.7486947178840637,0.5779860228716646,0.4618276682268089,0.11615835464485569,0,0,0.7032999992370605,0.045394718647003174
2004,Kerry,Alabama,1085,FALSE,0,0,13033,6019,4233,0.7032999992370605,0.4618276682268089,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1087,FALSE,0,0,22195,10396,9045,0.8700461983680725,0.46839378238341967,0.4900653300292859,-0.021671547645866207,0,0,0.8688058257102966,0.001240372657775879
2008,Obama,Alabama,1087,FALSE,0,0,22195,10877,9450,0.8688058257102966,0.4900653300292859,0.40666637732737293,0.08339895270191294,0,0,0.8324000239372253,0.03640580177307129
2004,Kerry,Alabama,1087,FALSE,0,0,23041,9370,7800,0.8324000239372253,0.40666637732737293,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1089,FALSE,0,0,320914,155428,62015,0.398995041847229,0.48432913490841784,0.4764485189178409,0.007880615990576934,0,0,0.41934219002723694,-0.020347148180007935
2008,Obama,Alabama,1089,FALSE,0,0,320914,152899,64117,0.41934219002723694,0.4764485189178409,0.44033526223313685,0.036113256684704054,0,0,0.40549999475479126,0.013842195272445679
2004,Kerry,Alabama,1089,FALSE,0,0,294814,129817,52644,0.40549999475479126,0.44033526223313685,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1091,FALSE,0,0,21100,11543,6167,0.5342631936073303,0.5470616113744076,0.543649289099526,0.0034123222748815296,0,0,0.5166071057319641,0.01765608787536621
2008,Obama,Alabama,1091,FALSE,0,0,21100,11471,5926,0.5166071057319641,0.543649289099526,0.475403020924754,0.06824626817477203,0,0,0.4893999993801117,0.027207106351852417
2004,Kerry,Alabama,1091,FALSE,0,0,21649,10292,5037,0.4893999993801117,0.475403020924754,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1093,FALSE,0,0,29378,12129,2249,0.1854233592748642,0.412859963237797,0.4205527946082102,-0.007692831370413211,0,0,0.21044109761714935,-0.025017738342285156
2008,Obama,Alabama,1093,FALSE,0,0,29378,12355,2600,0.21044109761714935,0.4205527946082102,0.4304994614970382,-0.009946666888828004,0,0,0.2976999878883362,-0.08725889027118683
2004,Kerry,Alabama,1093,FALSE,0,0,29712,12791,3808,0.2976999878883362,0.4304994614970382,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1095,FALSE,0,0,89200,32644,6299,0.19296042621135712,0.3659641255605381,0.3718161434977578,-0.005852017937219733,0,0,0.21220530569553375,-0.019244879484176636
2008,Obama,Alabama,1095,FALSE,0,0,89200,33166,7038,0.21220530569553375,0.3718161434977578,0.37113389812383407,6.822453739237511e-4,0,0,0.27059999108314514,-0.05839468538761139
2004,Kerry,Alabama,1095,FALSE,0,0,84161,31235,8452,0.27059999108314514,0.37113389812383407,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1097,FALSE,0,0,409132,175140,78760,0.4496973752975464,0.4280770020433503,0.4434363481712503,-0.01535934612790002,0,0,0.45297759771347046,-0.0032802224159240723
2008,Obama,Alabama,1097,FALSE,0,0,409132,181424,82181,0.45297759771347046,0.4434363481712503,0.3917931379725851,0.051643210198665246,0,0,0.4092000126838684,0.04377758502960205
2004,Kerry,Alabama,1097,FALSE,0,0,397521,155746,63732,0.4092000126838684,0.3917931379725851,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1099,FALSE,0,0,22648,10717,4914,0.45852383971214294,0.4731985164252914,0.49682091133874956,-0.023622394913458133,0,0,0.44658729434013367,0.011936545372009277
2008,Obama,Alabama,1099,FALSE,0,0,22648,11252,5025,0.44658729434013367,0.49682091133874956,0.4067063509057428,0.09011456043300675,0,0,0.38600000739097595,0.060587286949157715
2004,Kerry,Alabama,1099,FALSE,0,0,23351,9497,3666,0.38600000739097595,0.4067063509057428,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1101,FALSE,0,0,224525,102067,63085,0.6180744171142578,0.4545908028059236,0.4665092974056341,-0.011918494599710505,1,-1,0.5935099124908447,0.024564504623413086
2008,Obama,Alabama,1101,FALSE,1,1,224525,104743,62166,0.5935099124908447,0.4665092974056341,0.4019046761375149,0.06460462126811922,0,1,0.5059999823570251,0.08750993013381958
2004,Kerry,Alabama,1101,FALSE,0,0,222085,89257,45160,0.5059999823570251,0.4019046761375149,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1103,FALSE,0,0,116297,49459,13439,0.2717200219631195,0.42528182154311805,0.4345941855765841,-0.009312364033466025,0,0,0.27491989731788635,-0.0031998753547668457
2008,Obama,Alabama,1103,FALSE,0,0,116297,50542,13895,0.27491989731788635,0.4345941855765841,0.415364049549951,0.019230136026633093,0,0,0.30320000648498535,-0.028280109167099
2004,Kerry,Alabama,1103,FALSE,0,0,112210,46608,14131,0.30320000648498535,0.415364049549951,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1105,FALSE,0,0,10753,6101,4568,0.7487297058105469,0.5673765460801636,0.5727703896586999,-0.005393843578536228,0,0,0.723656415939331,0.02507328987121582
2008,Obama,Alabama,1105,FALSE,0,0,10753,6159,4457,0.723656415939331,0.5727703896586999,0.4969308539447554,0.07583953571394447,0,0,0.6843000054359436,0.03935641050338745
2004,Kerry,Alabama,1105,FALSE,0,0,11078,5505,3767,0.6843000054359436,0.4969308539447554,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1107,FALSE,0,0,19385,9621,4455,0.46304959058761597,0.49631158111942225,0.5193190611297395,-0.023007480010317216,0,0,0.456342488527298,0.006707102060317993
2008,Obama,Alabama,1107,FALSE,0,0,19385,10067,4594,0.456342488527298,0.5193190611297395,0.4520800159235669,0.06723904520617258,0,0,0.4309000074863434,0.02544248104095459
2004,Kerry,Alabama,1107,FALSE,0,0,20096,9085,3915,0.4309000074863434,0.4520800159235669,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1109,FALSE,0,0,30371,14123,6035,0.42731714248657227,0.46501596918112675,0.4594843765434131,0.005531592637713634,0,0,0.42128270864486694,0.006034433841705322
