creative,party,ad_issue,cycle,ad_purpose,ad_tone
BAUER/National Security,republican,Defense,2000,policy,contrast
BAUER/National Security,republican,None,2000,policy,contrast
BAUER/NH China,republican,Foreign policy,2000,policy,promote
BAUER/NH China,republican,Trade/NAFTA,2000,policy,promote
BAUER/NH China,republican,China,2000,policy,promote
BAUER/NH China,republican,Other defense/foreign policy issues,2000,policy,promote
BRADLEY/A Few Feet Forward,democrat,Campaign finance reform,2000,policy,promote
BRADLEY/A Few Feet Forward,democrat,Gun control,2000,policy,promote
BRADLEY/A Few Feet Forward,democrat,Health care,2000,policy,promote
BRADLEY/A Few Feet Forward,democrat,Poverty,2000,policy,promote
BRADLEY/Advienne Wald,democrat,Health care,2000,policy,promote
BRADLEY/Advienne Wald,democrat,None,2000,policy,promote
BRADLEY/Advienne Wald 2,democrat,Health care,2000,policy,promote
BRADLEY/Advienne Wald 2,democrat,Education,2000,policy,promote
BRADLEY/Advienne Wald 2,democrat,Campaign finance reform,2000,policy,promote
BRADLEY/Advienne Wald 2,democrat,None,2000,policy,promote
BRADLEY/America Wants,democrat,Honesty/Integrity,2000,personal,promote
BRADLEY/America Wants,democrat,None,2000,personal,promote
BRADLEY/Big Ideas,democrat,Gun control,2000,policy,promote
BRADLEY/Big Ideas,democrat,Poverty,2000,policy,promote
BRADLEY/Big Ideas,democrat,Health care,2000,policy,promote
BRADLEY/Big Ideas,democrat,Government Spending,2000,policy,promote
BRADLEY/Bio 120,democrat,Background,2000,personal,promote
BRADLEY/Bio 120,democrat,None,2000,personal,promote
BRADLEY/Brgtov,democrat,Health care,2000,both,promote
BRADLEY/Brgtov,democrat,Special Interests,2000,both,promote
BRADLEY/Brgtov,democrat,Personal values,2000,both,promote
BRADLEY/Brgtov,democrat,None,2000,both,promote
BRADLEY/Des Moines Register,democrat,Personal values,2000,personal,promote
BRADLEY/Des Moines Register,democrat,None,2000,personal,promote
BRADLEY/DPM Faith In Government,democrat,Other,2000,personal,promote
BRADLEY/DPM Faith In Government,democrat,None,2000,personal,promote
BRADLEY/Give Him The Ball,democrat,Health care,2000,both,promote
BRADLEY/Give Him The Ball,democrat,Special Interests,2000,both,promote
BRADLEY/Give Him The Ball,democrat,Gun control,2000,both,promote
BRADLEY/Give Him The Ball,democrat,None,2000,both,promote
BRADLEY/Greatest Country 15,democrat,Health care,2000,policy,promote
BRADLEY/Greatest Country 15,democrat,Education,2000,policy,promote
BRADLEY/Greatest Country 15,democrat,Campaign finance reform,2000,policy,promote
BRADLEY/Greatest Country 15,democrat,None,2000,policy,promote
BRADLEY/Healthcare 2,democrat,Health care,2000,both,promote
BRADLEY/Healthcare 2,democrat,None,2000,both,promote
BRADLEY/Kerry,democrat,Special Interests,2000,both,promote
BRADLEY/Kerry,democrat,Taxes,2000,both,promote
BRADLEY/Kerry,democrat,Campaign finance reform,2000,both,promote
BRADLEY/Kerry,democrat,Moral values,2000,both,promote
BRADLEY/Listens,democrat,Health care,2000,both,promote
BRADLEY/Listens,democrat,Political record,2000,both,promote
BRADLEY/Listens,democrat,None,2000,both,promote
BRADLEY/MJ,democrat,Health care,2000,both,promote
BRADLEY/MJ,democrat,Gun control,2000,both,promote
BRADLEY/MJ,democrat,Civil rights/race relations,2000,both,promote
BRADLEY/MJ,democrat,None,2000,both,promote
BRADLEY/Mrs. Paul Tsongas,democrat,Employment/ jobs,2000,personal,promote
BRADLEY/Mrs. Paul Tsongas,democrat,Political record,2000,personal,promote
BRADLEY/Mrs. Paul Tsongas,democrat,None,2000,personal,promote
BRADLEY/One Man,democrat,Abortion,2000,both,contrast
BRADLEY/One Man,democrat,None,2000,both,contrast
BRADLEY/Only One,democrat,Education,2000,both,promote
BRADLEY/Only One,democrat,Environment,2000,both,promote
BRADLEY/Only One,democrat,Gun control,2000,both,promote
BRADLEY/Only One,democrat,Abortion,2000,both,promote
BRADLEY/Only One 2,democrat,Education,2000,both,contrast
BRADLEY/Only One 2,democrat,Health care,2000,both,contrast
BRADLEY/Only One 2,democrat,Gun control,2000,both,contrast
BRADLEY/Only One 2,democrat,Abortion,2000,both,contrast
BRADLEY/Pro-Choice,democrat,Abortion,2000,policy,promote
BRADLEY/Pro-Choice,democrat,None,2000,policy,promote
BRADLEY/Protecting Medicare,democrat,Political record,2000,policy,promote
BRADLEY/Protecting Medicare,democrat,Medicare,2000,policy,promote
BRADLEY/Protecting Medicare,democrat,None,2000,policy,promote
BRADLEY/Russell,democrat,None,2000,unclear,promote
BRADLEY/Russell 2,democrat,None,2000,unclear,promote
BRADLEY/Sick Child,democrat,Health care,2000,policy,promote
BRADLEY/Sick Child,democrat,Other child-related issues,2000,policy,promote
BRADLEY/Sick Child,democrat,None,2000,policy,promote
BRADLEY/Spanish,democrat,Health care,2000,both,promote
BRADLEY/Spanish,democrat,Education,2000,both,promote
BRADLEY/Spanish,democrat,Defense,2000,both,promote
BRADLEY/Spanish,democrat,None,2000,both,promote
BRADLEY/Special Interest,democrat,Special Interests,2000,both,promote
BRADLEY/Special Interest,democrat,Campaign finance reform,2000,both,promote
BRADLEY/Special Interest,democrat,None,2000,both,promote
BRADLEY/Spike and Ed,democrat,Medicare,2000,both,promote
BRADLEY/Spike and Ed,democrat,Education,2000,both,promote
BRADLEY/Spike and Ed,democrat,Gun control,2000,both,promote
BRADLEY/Spike and Ed,democrat,Taxes,2000,both,promote
BRADLEY/Take It Home,democrat,Health care,2000,policy,promote
BRADLEY/Take It Home,democrat,Gun control,2000,policy,promote
BRADLEY/Take It Home,democrat,None,2000,policy,promote
BUSH/A Lot Of New Americans,republican,Education,2000,policy,promote
BUSH/A Lot Of New Americans,republican,Social security,2000,policy,promote
BUSH/A Lot Of New Americans,republican,Medicare,2000,policy,promote
BUSH/A Lot Of New Americans,republican,Honesty/Integrity,2000,policy,promote
BUSH/A Moment In History,republican,Education,2000,policy,promote
BUSH/A Moment In History,republican,Social security,2000,policy,promote
BUSH/A Moment In History,republican,Deficit/ surplus/ budget/ debt,2000,policy,promote
BUSH/A Moment In History,republican,Moral values,2000,policy,promote
BUSH/Arizona Spanish,republican,Other,2000,policy,promote
BUSH/Arizona Spanish,republican,None,2000,policy,promote
BUSH/Bush Hope 30,republican,Taxes,2000,policy,promote
BUSH/Bush Hope 30,republican,Government Spending,2000,policy,promote
BUSH/Bush Hope 30,republican,Education,2000,policy,promote
BUSH/Bush Hope 30,republican,Welfare,2000,policy,promote
BUSH/Bush I Believe 30,republican,Social security,2000,policy,promote
BUSH/Bush I Believe 30,republican,Medicare,2000,policy,promote
BUSH/Bush I Believe 30,republican,Education,2000,policy,promote
BUSH/Bush I Believe 30,republican,Defense,2000,policy,promote
BUSH/Children Education,republican,Education,2000,policy,promote
BUSH/Children Education,republican,Other child-related issues,2000,policy,promote
BUSH/Children Education,republican,Other,2000,policy,promote
BUSH/Children Education,republican,None,2000,policy,promote
BUSH/Cuts Marginal Rates,republican,Taxes,2000,policy,promote
BUSH/Cuts Marginal Rates,republican,Social security,2000,policy,promote
BUSH/Cuts Marginal Rates,republican,Deficit/ surplus/ budget/ debt,2000,policy,promote
BUSH/Cuts Marginal Rates,republican,None,2000,policy,promote
BUSH/Disappointing,republican,Campaign finance reform,2000,personal,attack
BUSH/Disappointing,republican,Defense,2000,personal,attack
BUSH/Disappointing,republican,Education,2000,personal,attack
BUSH/Disappointing,republican,Social security,2000,personal,attack
BUSH/Don't Agree,republican,Government Spending,2000,policy,promote
BUSH/Don't Agree,republican,Taxes,2000,policy,promote
BUSH/Don't Agree,republican,Employment/ jobs,2000,policy,promote
BUSH/Don't Agree,republican,None,2000,policy,promote
BUSH/Education Agenda,republican,Education,2000,policy,promote
BUSH/Education Agenda,republican,None,2000,policy,promote
BUSH/Education Spanish,republican,Other economic reference,2000,policy,promote
BUSH/Education Spanish,republican,Education,2000,policy,promote
BUSH/Education Spanish,republican,None,2000,policy,promote
BUSH/Elizabeth Dole,republican,Background,2000,policy,promote
BUSH/Elizabeth Dole,republican,Taxes,2000,policy,promote
BUSH/Elizabeth Dole,republican,Education,2000,policy,promote
BUSH/Elizabeth Dole,republican,None,2000,policy,promote
BUSH/Families,republican,Moral values,2000,policy,promote
BUSH/Families,republican,Education,2000,policy,promote
BUSH/Families,republican,Taxes,2000,policy,promote
BUSH/Families,republican,Social security,2000,policy,promote
BUSH/Gore Debates,republican,None,2000,personal,attack
BUSH/Govt. Do Few Things,republican,Deficit/ surplus/ budget/ debt,2000,policy,promote
BUSH/Govt. Do Few Things,republican,Taxes,2000,policy,promote
BUSH/Govt. Do Few Things,republican,Social security,2000,policy,promote
BUSH/Govt. Do Few Things,republican,None,2000,policy,promote
BUSH/Gregg,republican,Political record,2000,policy,promote
BUSH/Gregg,republican,Taxes,2000,policy,promote
BUSH/Gregg,republican,Government Spending,2000,policy,promote
BUSH/Gregg,republican,None,2000,policy,promote
BUSH/He'll Restore,republican,Education,2000,both,promote
BUSH/He'll Restore,republican,Health care,2000,both,promote
BUSH/He'll Restore,republican,Welfare,2000,both,promote
BUSH/He'll Restore,republican,Taxes,2000,both,promote
BUSH/I'm A Young Latino,republican,Civil rights/race relations,2000,policy,promote
BUSH/I'm A Young Latino,republican,None,2000,policy,promote
BUSH/IA I Say We Can,republican,Education,2000,policy,promote
BUSH/IA I Say We Can,republican,Taxes,2000,policy,promote
BUSH/IA I Say We Can,republican,Social security,2000,policy,promote
BUSH/IA I Say We Can,republican,Ideology,2000,policy,promote
BUSH/IA Schools,republican,Education,2000,policy,promote
BUSH/IA Schools,republican,Ideology,2000,policy,promote
BUSH/IA Schools,republican,None,2000,policy,promote
BUSH/Jane Hull,republican,Other child-related issues,2000,policy,promote
BUSH/Jane Hull,republican,Health care,2000,policy,promote
BUSH/Jane Hull,republican,Education,2000,policy,promote
BUSH/Jane Hull,republican,None,2000,policy,promote
BUSH/Leader,republican,Background,2000,policy,promote
BUSH/Leader,republican,Education,2000,policy,promote
BUSH/Leader,republican,Health care,2000,policy,promote
BUSH/Leader,republican,Taxes,2000,policy,promote
BUSH/Level,republican,Education,2000,both,promote
BUSH/Level,republican,Other,2000,both,promote
BUSH/Level,republican,None,2000,both,promote
BUSH/Man Spanish,republican,Other,2000,both,promote
BUSH/Man Spanish,republican,None,2000,both,promote
BUSH/McCain Lobbyist,republican,Government ethics,2000,personal,attack
BUSH/McCain Lobbyist,republican,None,2000,personal,attack
BUSH/McCain's Ad Not True,republican,Taxes,2000,policy,contrast
BUSH/McCain's Ad Not True,republican,Social security,2000,policy,contrast
BUSH/McCain's Ad Not True,republican,Deficit/ surplus/ budget/ debt,2000,policy,contrast
BUSH/McCain's Ad Not True,republican,Ideology,2000,policy,contrast
BUSH/McCain's Ad Not True 2,republican,Taxes,2000,personal,attack
BUSH/McCain's Ad Not True 2,republican,Social security,2000,personal,attack
BUSH/McCain's Ad Not True 2,republican,Deficit/ surplus/ budget/ debt,2000,personal,attack
BUSH/McCain's Ad Not True 2,republican,None,2000,personal,attack
BUSH/Military,republican,Defense,2000,policy,promote
BUSH/Military,republican,Foreign policy,2000,policy,promote
BUSH/Military,republican,Missile defense/Star wars,2000,policy,promote
BUSH/Military,republican,Moral values,2000,policy,promote
BUSH/NA Tori Grandchildren,republican,None,2000,personal,promote
BUSH/NH Schools,republican,Ideology,2000,policy,promote
BUSH/NH Schools,republican,Moral values,2000,policy,promote
BUSH/NH Schools,republican,Other child-related issues,2000,policy,promote
BUSH/NH Schools,republican,None,2000,policy,promote
BUSH/NH Tax Debate,republican,Taxes,2000,both,promote
BUSH/NH Tax Debate,republican,Social security,2000,both,promote
BUSH/NH Tax Debate,republican,None,2000,both,promote
BUSH/NH Way To Cut,republican,Taxes,2000,policy,promote
BUSH/NH Way To Cut,republican,None,2000,policy,promote
BUSH/Once In A Hundred Years,republican,Social security,2000,policy,promote
BUSH/Once In A Hundred Years,republican,Education,2000,policy,promote
BUSH/Once In A Hundred Years,republican,Defense,2000,policy,promote
BUSH/Once In A Hundred Years,republican,Other,2000,policy,promote
BUSH/Ready in NH,republican,Education,2000,policy,promote
BUSH/Ready in NH,republican,Taxes,2000,policy,promote
BUSH/Ready in NH,republican,Ideology,2000,policy,promote
BUSH/Ready in NH,republican,None,2000,policy,promote
BUSH/Real Results,republican,Health care,2000,policy,contrast
BUSH/Real Results,republican,Education,2000,policy,contrast
BUSH/Real Results,republican,Taxes,2000,policy,contrast
BUSH/Real Results,republican,None,2000,policy,contrast
BUSH/Realistic Tax Cut Plan,republican,Taxes,2000,policy,promote
BUSH/Realistic Tax Cut Plan,republican,Other economic reference,2000,policy,promote
BUSH/Realistic Tax Cut Plan,republican,Government Spending,2000,policy,promote
BUSH/Realistic Tax Cut Plan,republican,None,2000,policy,promote
BUSH/Results,republican,Education,2000,both,contrast
BUSH/Results,republican,Health care,2000,both,contrast
BUSH/Results,republican,Taxes,2000,both,contrast
BUSH/Results,republican,Other,2000,both,contrast
BUSH/RNC 58 percent,republican,Education,2000,policy,contrast
BUSH/RNC 58 percent,republican,None,2000,policy,contrast
BUSH/RNC Children Grow Up Too Fast,republican,Other child-related issues,2000,policy,promote
BUSH/RNC Children Grow Up Too Fast,republican,Education,2000,policy,promote
BUSH/RNC Children Grow Up Too Fast,republican,Drugs,2000,policy,promote
BUSH/RNC Cultural Diversity,republican,Other,2000,both,promote
BUSH/RNC Cultural Diversity,republican,None,2000,both,promote
BUSH/RNC Cultural Diversity Spanish,republican,Other,2000,unclear,promote
BUSH/RNC Cultural Diversity Spanish,republican,None,2000,unclear,promote
BUSH/RNC Education Recession,republican,Education,2000,policy,contrast
BUSH/RNC Education Recession,republican,None,2000,policy,contrast
BUSH/RNC Education Recession 2,republican,Political record,2000,policy,contrast
BUSH/RNC Education Recession 2,republican,Education,2000,policy,contrast
BUSH/RNC Education Recession 2,republican,Personal values,2000,policy,contrast
BUSH/RNC Education Recession 2,republican,None,2000,policy,contrast
BUSH/RNC Gore Mother-in-Law Rx,republican,Honesty/Integrity,2000,personal,attack
BUSH/RNC Gore Mother-in-Law Rx,republican,Social security,2000,personal,attack
BUSH/RNC Gore Mother-in-Law Rx,republican,None,2000,personal,attack
BUSH/RNC Hard Things,republican,Education,2000,policy,promote
BUSH/RNC Hard Things,republican,None,2000,policy,promote
BUSH/RNC I Trust You,republican,Social security,2000,both,promote
BUSH/RNC I Trust You,republican,Education,2000,both,promote
BUSH/RNC I Trust You,republican,Deficit/ surplus/ budget/ debt,2000,both,promote
BUSH/RNC I Trust You,republican,None,2000,both,promote
BUSH/RNC I Trust You 60,republican,Social security,2000,both,contrast
BUSH/RNC I Trust You 60,republican,Education,2000,both,contrast
BUSH/RNC I Trust You 60,republican,Deficit/ surplus/ budget/ debt,2000,both,contrast
BUSH/RNC I Trust You 60,republican,Taxes,2000,both,contrast
BUSH/RNC My Uncle Spanish,republican,Personal values,2000,personal,promote
BUSH/RNC My Uncle Spanish,republican,Background,2000,personal,promote
BUSH/RNC My Uncle Spanish,republican,None,2000,personal,promote
BUSH/RNC Phyllis Hunter Education,republican,Political record,2000,both,promote
BUSH/RNC Phyllis Hunter Education,republican,Education,2000,both,promote
BUSH/RNC Phyllis Hunter Education,republican,None,2000,both,promote
BUSH/RNC Spanish Education 58 Percent,republican,Education,2000,policy,contrast
BUSH/RNC Spanish Education 58 Percent,republican,None,2000,policy,contrast
BUSH/RNC Women Spanish,republican,Health care,2000,policy,promote
BUSH/RNC Women Spanish,republican,None,2000,policy,promote
BUSH/RX Plan,republican,Social security,2000,both,promote
BUSH/RX Plan,republican,Medicare,2000,both,promote
BUSH/RX Plan,republican,Health care,2000,both,promote
BUSH/RX Plan,republican,None,2000,both,promote
BUSH/Save SS,republican,Social security,2000,policy,promote
BUSH/Save SS,republican,Moral values,2000,policy,promote
BUSH/Save SS,republican,Ideology,2000,policy,promote
BUSH/Save SS,republican,None,2000,policy,promote
BUSH/Spanish Education,republican,Education,2000,policy,promote
BUSH/Spanish Education,republican,None,2000,policy,promote
BUSH/Spanish Education 2,republican,Education,2000,policy,promote
BUSH/Spanish Education 2,republican,None,2000,policy,promote
BUSH/Speech Spanish,republican,Other,2000,unclear,contrast
BUSH/Speech Spanish,republican,None,2000,unclear,contrast
BUSH/Tax Cut Plan,republican,Taxes,2000,policy,promote
BUSH/Tax Cut Plan,republican,None,2000,policy,promote
BUSH/Tax Plan,republican,Taxes,2000,policy,promote
BUSH/Tax Plan,republican,Deficit/ surplus/ budget/ debt,2000,policy,promote
BUSH/Tax Plan,republican,Social security,2000,policy,promote
BUSH/Tax Plan,republican,Education,2000,policy,promote
"BUSH/Too Big, Too Bold",republican,Taxes,2000,both,contrast
"BUSH/Too Big, Too Bold",republican,Social security,2000,both,contrast
"BUSH/Too Big, Too Bold",republican,Education,2000,both,contrast
"BUSH/Too Big, Too Bold",republican,None,2000,both,contrast
BUSH/Values Schools,republican,Education,2000,policy,promote
BUSH/Values Schools,republican,Other child-related issues,2000,policy,promote
BUSH/Values Schools,republican,None,2000,policy,promote
BUSH/Welcome To George W. Bush.com,republican,None,2000,unclear,promote
BUSH/White House,republican,Honesty/Integrity,2000,personal,promote
BUSH/White House,republican,None,2000,personal,promote
BUSH/Why I'll Vote For Him Spanish,republican,Background,2000,personal,promote
BUSH/Why I'll Vote For Him Spanish,republican,None,2000,personal,promote
BUSH/Why Vote For George W. Bush,republican,Education,2000,both,promote
BUSH/Why Vote For George W. Bush,republican,Other child-related issues,2000,both,promote
BUSH/Why Vote For George W. Bush,republican,Other,2000,both,promote
BUSH/Why Vote For George W. Bush,republican,Personal values,2000,both,promote
CAP/Bush Houston Smog,democrat,Environment,2000,policy,attack
CAP/Bush Houston Smog,democrat,None,2000,policy,attack
CLPAC/Gore Tobacco Farmer,republican,Tobacco,2000,both,attack
CLPAC/Gore Tobacco Farmer,republican,None,2000,both,attack
CODP/Gore Kent Salazar Spanish,democrat,Other,2000,policy,promote
CODP/Gore Kent Salazar Spanish,democrat,Education,2000,policy,promote
CODP/Gore Kent Salazar Spanish,democrat,None,2000,policy,promote
CPAN/Bush Missile Defense,republican,Missile defense/Star wars,2000,policy,contrast
CPAN/Bush Missile Defense,republican,None,2000,policy,contrast
CPAN/Strong Missile Defense,republican,Political record,2000,policy,attack
CPAN/Strong Missile Defense,republican,Missile defense/Star wars,2000,policy,attack
CPAN/Strong Missile Defense,republican,None,2000,policy,attack
CPAN/Where Will You Be,republican,Defense,2000,policy,attack
CPAN/Where Will You Be,republican,Missile defense/Star wars,2000,policy,attack
CPAN/Where Will You Be,republican,Foreign policy,2000,policy,attack
CPAN/Where Will You Be,republican,None,2000,policy,attack
DNC/Bush Look At His Record,democrat,Minimum wage,2000,both,attack
DNC/Bush Look At His Record,democrat,Health care,2000,both,attack
DNC/Bush Look At His Record,democrat,Other child-related issues,2000,both,attack
DNC/Bush Look At His Record,democrat,None,2000,both,attack
DNC/Bush Old Tricks,democrat,Honesty/Integrity,2000,both,attack
DNC/Bush Old Tricks,democrat,Environment,2000,both,attack
DNC/Bush Old Tricks,democrat,None,2000,both,attack
DNC/Bush Siding,democrat,Health care,2000,policy,contrast
DNC/Bush Siding,democrat,None,2000,policy,contrast
DNC/Bush Texas Healthcare,democrat,Health care,2000,policy,attack
DNC/Bush Texas Healthcare,democrat,None,2000,policy,attack
DNC/Cheney's Record,democrat,Environment,2000,policy,attack
DNC/Cheney's Record,democrat,Education,2000,policy,attack
DNC/Cheney's Record,democrat,Background,2000,policy,attack
DNC/Cheney's Record,democrat,None,2000,policy,attack
DNC/Gore Air and Water OR,democrat,Background,2000,policy,attack
DNC/Gore Air and Water OR,democrat,Environment,2000,policy,attack
DNC/Gore Air and Water OR,democrat,None,2000,policy,attack
DNC/Gore and Lieberman Record,democrat,Welfare,2000,policy,promote
DNC/Gore and Lieberman Record,democrat,Health care,2000,policy,promote
DNC/Gore and Lieberman Record,democrat,Deficit/ surplus/ budget/ debt,2000,policy,promote
DNC/Gore and Lieberman Record,democrat,Moral values,2000,policy,promote
DNC/Gore Big Oil Tax Break 15,democrat,Special Interests,2000,policy,attack
DNC/Gore Big Oil Tax Break 15,democrat,Taxes,2000,policy,attack
DNC/Gore Big Oil Tax Break 15,democrat,Health care,2000,policy,attack
DNC/Gore Big Oil Tax Break 15,democrat,Other child-related issues,2000,policy,attack
DNC/Gore Bush Can't Keep Promises SS,democrat,Social security,2000,both,attack
DNC/Gore Bush Can't Keep Promises SS,democrat,Honesty/Integrity,2000,both,attack
DNC/Gore Bush Can't Keep Promises SS,democrat,None,2000,both,attack
DNC/Gore Bush Got To Be Kidding,democrat,Political record,2000,policy,contrast
DNC/Gore Bush Got To Be Kidding,democrat,Environment,2000,policy,contrast
DNC/Gore Bush Got To Be Kidding,democrat,Special Interests,2000,policy,contrast
DNC/Gore Bush Got To Be Kidding,democrat,None,2000,policy,contrast
DNC/Gore Bush Medicare,democrat,Medicare,2000,policy,contrast
DNC/Gore Bush Medicare,democrat,Taxes,2000,policy,contrast
DNC/Gore Bush Medicare,democrat,None,2000,policy,contrast
DNC/Gore Bush Nothing for Hispanics,democrat,Political record,2000,both,attack
DNC/Gore Bush Nothing for Hispanics,democrat,Education,2000,both,attack
DNC/Gore Bush Nothing for Hispanics,democrat,None,2000,both,attack
DNC/Gore Bush Nothing Hispanics Spanish,democrat,Political record,2000,both,attack
DNC/Gore Bush Nothing Hispanics Spanish,democrat,Education,2000,both,attack
DNC/Gore Bush Nothing Hispanics Spanish,democrat,None,2000,both,attack
DNC/Gore Education,democrat,Education,2000,policy,promote
DNC/Gore Education,democrat,None,2000,policy,promote
DNC/Gore Education Parents,democrat,Education,2000,policy,promote
DNC/Gore Education Parents,democrat,None,2000,policy,promote
DNC/Gore Education Plan,democrat,Education,2000,policy,promote
DNC/Gore Education Plan,democrat,Taxes,2000,policy,promote
DNC/Gore Education Plan,democrat,None,2000,policy,promote
DNC/Gore Environment,democrat,Environment,2000,policy,attack
DNC/Gore Environment,democrat,Special Interests,2000,policy,attack
DNC/Gore Environment,democrat,None,2000,policy,attack
DNC/Gore Fatherhood,democrat,Background,2000,personal,promote
DNC/Gore Fatherhood,democrat,Taxes,2000,personal,promote
DNC/Gore Fatherhood,democrat,None,2000,personal,promote
DNC/Gore GWB Promises,democrat,Social security,2000,policy,attack
DNC/Gore GWB Promises,democrat,None,2000,policy,attack
DNC/Gore GWB Wages Loophole,democrat,Deficit/ surplus/ budget/ debt,2000,policy,attack
DNC/Gore GWB Wages Loophole,democrat,Employment/ jobs,2000,policy,attack
DNC/Gore GWB Wages Loophole,democrat,None,2000,policy,attack
DNC/Gore GWB Won't Answer,democrat,Social security,2000,both,attack
DNC/Gore GWB Won't Answer,democrat,Taxes,2000,both,attack
DNC/Gore GWB Won't Answer,democrat,None,2000,both,attack
DNC/Gore Houston Pollution 15,democrat,Environment,2000,policy,attack
DNC/Gore Houston Pollution 15,democrat,Special Interests,2000,policy,attack
DNC/Gore Houston Pollution 15,democrat,None,2000,policy,attack
DNC/Gore Houston Smog,democrat,Environment,2000,both,attack
DNC/Gore Houston Smog,democrat,Other child-related issues,2000,both,attack
DNC/Gore Houston Smog,democrat,Government ethics,2000,both,attack
DNC/Gore Houston Smog,democrat,None,2000,both,attack
DNC/Gore IA Texas Plan,democrat,Other child-related issues,2000,policy,contrast
DNC/Gore IA Texas Plan,democrat,Education,2000,policy,contrast
DNC/Gore IA Texas Plan,democrat,None,2000,policy,contrast
DNC/Gore Indeed PBR,democrat,Political record,2000,policy,attack
DNC/Gore Indeed PBR,democrat,Health care,2000,policy,attack
DNC/Gore Indeed PBR,democrat,Other child-related issues,2000,policy,attack
DNC/Gore Indeed PBR,democrat,Special Interests,2000,policy,attack
DNC/Gore Is That the Change You Want,democrat,Deficit/ surplus/ budget/ debt,2000,policy,attack
DNC/Gore Is That the Change You Want,democrat,Social security,2000,policy,attack
DNC/Gore Is That the Change You Want,democrat,None,2000,policy,attack
DNC/Gore Leave Children Behind 15,democrat,Health care,2000,policy,attack
DNC/Gore Leave Children Behind 15,democrat,None,2000,policy,attack
DNC/Gore Look Who GWB Helped,democrat,Taxes,2000,policy,attack
DNC/Gore Look Who GWB Helped,democrat,Special Interests,2000,policy,attack
DNC/Gore Look Who GWB Helped,democrat,Health care,2000,policy,attack
DNC/Gore Look Who GWB Helped,democrat,Minimum wage,2000,policy,attack
DNC/Gore Minimum Wage,democrat,Minimum wage,2000,policy,contrast
DNC/Gore Minimum Wage,democrat,Education,2000,policy,contrast
DNC/Gore Minimum Wage,democrat,Taxes,2000,policy,contrast
DNC/Gore Minimum Wage,democrat,Other,2000,policy,contrast
DNC/Gore Oil and Water,democrat,Environment,2000,policy,contrast
DNC/Gore Oil and Water,democrat,None,2000,policy,contrast
DNC/Gore PBR,democrat,Health care,2000,policy,promote
DNC/Gore PBR,democrat,None,2000,policy,promote
DNC/Gore Rand Study,democrat,Education,2000,policy,attack
DNC/Gore Rand Study,democrat,None,2000,policy,attack
DNC/Gore Rich and Poor Schools Spanish,democrat,Education,2000,unclear,attack
DNC/Gore Rich and Poor Schools Spanish,democrat,None,2000,unclear,attack
DNC/Gore Rich and Poor Schools Spanish 2,democrat,Political record,2000,personal,attack
DNC/Gore Rich and Poor Schools Spanish 2,democrat,Education,2000,personal,attack
DNC/Gore Rich and Poor Schools Spanish 2,democrat,None,2000,personal,attack
DNC/Gore Spanish,democrat,Social security,2000,policy,promote
DNC/Gore Spanish,democrat,Medicare,2000,policy,promote
DNC/Gore Spanish,democrat,Education,2000,policy,promote
DNC/Gore Spanish,democrat,None,2000,policy,promote
DNC/Gore Spanish College,democrat,Personal values,2000,policy,promote
DNC/Gore Spanish College,democrat,Education,2000,policy,promote
